citizen_id,first_name,surname,date_of_birth,age,gender,indigenous_status,household_id,years_in_pandanus_reach,education_level,employment_sector,occupation,annual_income_aud,social_credit_score,tier,curfew_window,vehicle_owned,mobile_id,biometric_template_hash,registration_date
PR-00001,Mark,Johnson,1981-02-19,45,M,N,HH-00175,6,Certificate III,Unemployed,Unemployed,21308.0,652,C,20:00-06:00,Y,0451362065,70141dc13ddd90b4,2014-06-24
PR-00002,Nancy,Rhodes,1981-08-15,44,F,N,HH-00725,13,Diploma,Trades,Diesel Mechanic,74992.0,601,C,20:00-06:00,Y,0442168745,b23f41afa5f47b19,2012-07-27
PR-00003,Jennifer,Johnson,1974-10-04,51,F,N,HH-00054,0,Postgraduate,Trades,Plumber,69646.0,844,B,21:00-06:00,Y,0481794497,8595c3241b3338d7,2018-06-05
PR-00004,Alexander,Gonzalez,1991-11-25,34,M,N,HH-00727,15,Postgraduate,Unemployed,Unemployed,25372.0,767,B,21:00-06:00,N,0450384524,e5c30df880ce0b25,2018-12-25
PR-00005,Connie,Lawrence,1985-03-12,41,F,Y,HH-00517,7,Certificate IV,Mining,Mine Safety Officer,144339.0,607,C,20:00-06:00,N,0496493863,e5c3a3eab2dfaa06,2011-06-12
PR-00006,Robert,Wolfe,2003-06-19,23,M,Y,HH-00296,6,Certificate III,Public Safety,St John Ambulance Volunteer,92572.0,548,C,20:00-06:00,Y,0454657219,ebc9c628a8057b6c,2013-07-12
PR-00007,Tyler,Rogers,1986-05-20,40,M,N,HH-00192,28,Year 10,Retail,Bottleshop Attendant,47582.0,584,C,20:00-06:00,Y,0483514771,0ca5be342b990ecf,2012-09-15
PR-00008,Sarah,Munoz,2005-11-15,20,F,N,HH-01125,0,Certificate IV,Public Safety,Correctional Officer,85639.0,844,B,21:00-06:00,Y,0428265989,8d61c59accd90a88,2021-07-27
PR-00009,Kimberly,Dudley,1992-12-15,33,F,Y,HH-00310,7,Year 12,Hospitality,Roadhouse Attendant,44122.0,456,D,18:00-07:00 (strict),N,0497131540,76d1f531d1480993,2019-01-30
PR-00010,Ronald,Montgomery,1977-09-11,48,M,N,HH-00911,12,Certificate III,Public Safety,Fire & Rescue,77296.0,642,C,20:00-06:00,N,0427919382,9610eba93c0cd4c2,2019-06-09
PR-00011,Michele,Williams,1974-04-16,52,F,N,HH-00139,17,Year 12,Indigenous Services,Cultural Mediator,83654.0,522,C,20:00-06:00,Y,0434412762,4e132b417a4596b2,2015-05-28
PR-00012,Bobby,Hall,1983-12-30,42,M,N,HH-00931,10,Year 10,Unemployed,Unemployed,26474.0,743,B,21:00-06:00,Y,0484964625,68daa324a0eb47a6,2015-03-31
PR-00013,Cynthia,Diaz,1994-08-22,31,X,Y,HH-00758,0,Diploma,Education,Skills Institute Lecturer,94138.0,453,D,18:00-07:00 (strict),Y,0463825994,4a37ee90281551b7,2014-04-15
PR-00014,Joseph,Zuniga,2009-11-27,16,X,N,HH-00516,0,Year 10,Student,Student,15511.0,697,C,20:00-06:00,Y,0486134053,c98381af2a884f49,2019-11-18
PR-00015,Carolyn,Daniel,1968-07-07,58,F,N,HH-00237,1,Bachelor,Education,Principal,80969.0,719,B,21:00-06:00,Y,0440129725,fa25111b9109276f,2016-08-31
PR-00016,William,Bowman,2006-03-30,20,M,N,HH-00442,19,Year 12,Indigenous Services,Cultural Mediator,78503.0,491,D,18:00-07:00 (strict),Y,0427475058,10e2e8c3c75f3367,2020-12-08
PR-00017,Ryan,Parsons,2010-03-21,16,M,N,HH-00986,16,Diploma,Student,Student,12152.0,608,C,20:00-06:00,Y,0434208834,92aa91f91a0a1660,2011-10-21
PR-00018,Ethan,Adams,1987-04-27,39,M,Y,HH-00430,31,Postgraduate,Pastoral,Bore Runner,55670.0,696,C,20:00-06:00,Y,0496870487,e774d8014053f1aa,2024-07-21
PR-00019,Shawn,Edwards,2010-05-22,16,M,Y,HH-00203,16,No formal,Student,Student,13861.0,497,D,18:00-07:00 (strict),Y,0438483372,267b88a1460dc735,2016-11-21
PR-00020,Thomas,Ellis,1985-07-13,40,M,N,HH-01045,7,Year 10,Trades,Diesel Mechanic,72942.0,581,C,20:00-06:00,Y,0454676053,59d94969657382bd,2014-10-22
PR-00021,Justin,Baker,2006-11-06,19,M,N,HH-00461,1,Year 10,Student,Student,12982.0,574,C,20:00-06:00,N,0461128589,0acc9260a09fccbf,2023-12-03
